CYCLE	LEAVES	SPROUTS	FLOWERS	FRUITS	mineral
0	1.389256	0	0	0	0.3604
1	1.925766	0	0	0	0.705602
2	2.661356	0	0	0	1.030055
3	3.66265	0	0	0	1.326433
4	5.01231	0	0	0	1.585293
5	6.807643	0	0	0	1.79485
6	9.154223	0	0	0	1.941082
7	12.151847	0	0	0	2.008433
8	15.871218	0	0	0	1.981426
9	20.323727	0	0	0	1.847336
10	25.43361	0	0	0	1.599608
11	30.057482	0	0	0	1.371429
12	31.991728	0	0	0	1.485715
13	33.866952	0	0	0	1.6
14	35.684957	0	0	0	1.714286
15	37.447485	0	0	0	1.828572
16	39.15623	0	0	0	1.942857
17	40.812834	0	0	0	2.057143
18	42.418887	0	0	0	2.171429
19	43.975932	0	0	0	2.285715
20	45.485465	0	0	0	2.4
21	46.948936	0	0	0	2.514286
22	48.36775	0	0	0	2.628572
23	49.743271	0	0	0	2.742857
24	51.076818	0	0	0	2.857143
25	52.369675	0	0	0	2.971429
26	53.62308	0	0	0	3.085714
27	54.838239	0	0	0	3.2
28	56.016317	0	0	0	3.314286
29	57.158449	0	0	0	3.428572
30	58.265727	0	0	0	3.542857
31	59.339217	0	0	0	3.657143
32	60.379952	0	0	0	3.771429
33	61.388928	0	0	0	3.885714
34	62.367116	0	0	0	4
35	63.315456	0	0	0	4.114286
36	64.234859	0	0	0	4.228572
37	65.126208	0	0	0	4.342857
38	65.990359	0	0	0	4.457143
39	66.828143	0	0	0	4.571429
40	67.640358	0	0	0	4.685714
41	68.427789	0	0	0	4.8
42	69.19119	0	0	0	4.914286
43	69.931299	0	0	0	5.028571
44	70.648824	0	0	0	5.142857
45	71.344452	0	0	0	5.257143
46	72.018859	0	0	0	5.371429
47	72.672685	0	0	0	5.485714
48	73.306561	0	0	0	5.6
49	73.921091	0	0	0	5.714286
50	74.516866	0	0	0	5.828571
51	75.094467	0	0	0	5.942857
52	75.654441	0	0	0	6.057143
53	76.197329	0	0	0	6.171429
54	76.723648	0	0	0	6.285714
55	77.23391	0	0	0	6.4
