CYCLE	LEAVES	SPROUTS	FLOWERS	FRUITS	mineral
0	1.389256	0	0	0	0.3604
1	1.925766	0	0	0	0.705602
2	2.661356	0	0	0	1.030055
3	3.66265	0	0	0	1.326433
4	5.01231	0	0	0	1.585293
5	6.807643	0	0	0	1.79485
6	9.154223	0	0	0	1.941082
7	12.151847	0	0	0	2.008433
8	15.871218	0	0	0	1.981426
9	20.323727	0	0	0	1.847336
10	25.43361	0	0	0	1.599608
11	29.030556	0	0	0	1.509424
12	29.174859	0	0	0	1.880853
13	29.318462	0	0	0	2.252282
14	29.461368	0	0	0	2.62371
15	29.603581	0	0	0	2.995139
16	29.745105	0	0	0	3.366567
17	29.885942	0	0	0	3.737996
18	30.026095	0	0	0	4.109425
19	30.165569	0	0	0	4.480853
20	30.304365	0	0	0	4.852282
21	30.442489	0	0	0	5.22371
22	30.579943	0	0	0	5.595139
23	30.716729	0	0	0	5.966567
24	30.852853	0	0	0	6.337996
25	30.988316	0	0	0	6.709425
26	31.123121	0	0	0	7.080853
27	31.257272	0	0	0	7.452282
28	31.390773	0	0	0	7.82371
29	31.523626	0	0	0	8.195139
30	31.655834	0	0	0	8.566567
31	31.787401	0	0	0	8.937996
32	31.918329	0	0	0	9.309425
33	32.048624	0	0	0	9.680853
34	32.178286	0	0	0	10.052282
35	32.307319	0	0	0	10.42371
36	32.435723	0	0	0	10.795139
37	32.563508	0	0	0	11.166567
38	32.690671	0	0	0	11.537996
39	32.817218	0	0	0	11.909425
40	32.943152	0	0	0	12.280853
41	33.068473	0	0	0	12.652282
42	33.193185	0	0	0	13.02371
43	33.317292	0	0	0	13.395139
44	33.440797	0	0	0	13.766568
45	33.563704	0	0	0	14.137996
46	33.686014	0	0	0	14.509425
47	33.80773	0	0	0	14.880853
48	33.928855	0	0	0	15.252282
49	34.049395	0	0	0	15.62371
50	34.169348	0	0	0	15.995139
51	34.288722	0	0	0	16.366568
52	34.407514	0	0	0	16.737996
53	34.525731	0	0	0	17.109425
54	34.643373	0	0	0	17.480853
