CYCLE	LEAVES	SPROUTS	FLOWERS	FRUITS	mineral
0	1.193628	0	0	0	0.3802
1	1.423835	0	0	0	0.756612
2	1.69715	0	0	0	1.128541
3	2.021106	0	0	0	1.495174
4	2.404334	0	0	0	1.855569
5	2.856631	0	0	0	2.208639
6	3.38899	0	0	0	2.553138
7	4.013583	0	0	0	2.887655
8	4.743651	0	0	0	3.210605
9	5.593298	0	0	0	3.520233
10	6.577137	0	0	0	3.814624
11	7.709769	0	0	0	4.091733
12	9.005079	0	0	0	4.349426
13	10.475341	0	0	0	4.585542
14	12.13016	0	0	0	4.797982
15	13.975319	0	0	0	4.984807
16	16.011648	0	0	0	5.144363
17	18.234045	0	0	0	5.275404
18	20.630838	0	0	0	5.377219
19	23.183642	0	0	0	5.449729
20	25.867821	0	0	0	5.493552
21	28.653573	0	0	0	5.510025
22	31.507545	0	0	0	5.501159
23	34.394791	0	0	0	5.469553
24	37.280815	0	0	0	5.418257
25	40.133417	0	0	0	5.350613
26	42.924165	0	0	0	5.270083
27	45.629361	0	0	0	5.180096
28	48.230467	0	0	0	5.083917
29	50.714069	0	0	0	4.984543
30	53.071508	0	0	0	4.884645
31	55.298259	0	0	0	4.786532
32	57.393231	0	0	0	4.692146
33	59.358036	0	0	0	4.603078
34	60.775426	0	0	0	4.624361
35	61.772337	0	0	0	4.738646
36	62.738826	0	0	0	4.852932
37	63.675826	0	0	0	4.967218
38	64.584234	0	0	0	5.081503
39	65.464923	0	0	0	5.195789
40	66.318734	0	0	0	5.310075
41	67.146497	0	0	0	5.42436
42	67.948997	0	0	0	5.538646
43	68.727009	0	0	0	5.652932
44	69.481281	0	0	0	5.767218
45	70.212534	0	0	0	5.881503
46	70.921479	0	0	0	5.995789
47	71.608792	0	0	0	6.110075
48	72.275128	0	0	0	6.22436
49	72.921134	0	0	0	6.338646
50	73.547427	0	0	0	6.452932
51	74.154609	0	0	0	6.567218
52	74.743265	0	0	0	6.681503
53	75.31396	0	0	0	6.795789
54	75.867233	0	0	0	6.910075
55	76.403626	0	0	0	7.02436
56	76.923657	0	0	0	7.138646
57	77.427811	0	0	0	7.252932
58	77.916586	0	0	0	7.367218
59	78.390444	0	0	0	7.481503
60	78.849843	0	0	0	7.595789
61	79.295224	0	0	0	7.710075
62	79.727014	0	0	0	7.82436
63	80.145631	0	0	0	7.938646
64	80.551472	0	0	0	8.052932
65	80.944933	0	0	0	8.167217
66	81.326386	0	0	0	8.281503
67	81.696197	0	0	0	8.395789
68	82.054724	0	0	0	8.510075
69	82.402309	0	0	0	8.62436
70	82.739288	0	0	0	8.738646
71	83.065835	0	0	0	8.853018
72	83.375159	0	0	0	8.971688
73	83.668365	0	0	0	9.094468
74	83.946463	0	0	0	9.22118
75	84.210392	0	0	0	9.351653
76	84.461027	0	0	0	9.485723
77	84.699166	0	0	0	9.623235
